item,p/c ratio
grilled breakfast filet,0.21666666666666667
8 ct grilled nuggets,0.19230769230769232
grilled filet,0.19090909090909092
6 ct grilled nuggets,0.19
12 ct grilled nuggets,0.19
6 ct grilled nuggets kid's meal,0.19
4 ct grilled nuggets,0.18571428571428572
4 ct grilled nuggets kid's meal,0.18571428571428572
small grilled cool wrap® tray,0.12222222222222222
medium grilled cool wrap® tray,0.12222222222222222
large grilled cool wrap® tray,0.12222222222222222
grilled cool wrap®,0.12
regular 96 oz coffee,0.12
decaf coffee 96 oz,0.12
8 ct chick-fil-a® nuggets,0.108
grilled market salad w/ grilled filet (cold),0.108
hash brown scramble bowl w/ grilled filet - no hash browns,0.1076923076923077
30 ct chick-fil-a® nuggets,0.10618556701030928
6 ct chick-fil-a® nuggets,0.10526315789473684
12 ct chick-fil-a® nuggets,0.10526315789473684
6 ct nuggets kid's meal,0.10526315789473684
4 ct chick-fil-a® nuggets,0.1
1 ct chick-n-strips™,0.1
4 ct nuggets kid's meal,0.1
1 chick-n-strips™ kid's meal,0.1
medium hot chick-fil-a®nuggets tray,0.1
large hot chick-fil-a® nuggets tray,0.1
chilled chick-fil-a® nugget trays,0.1
small chilled chick-fil-a® nuggets tray,0.1
medium chilled chick-fil-a® nuggets tray,0.1
large chilled chick-fil-a® nuggets tray,0.1
chick-fil-a® filet,0.096
4 ct chick-n-strips™,0.0951219512195122
2 ct chick-n-strips™,0.095
grilled market salad w/ grilled nuggets,0.09411764705882353
chick-fil-a® breakfast filet,0.09375
3 ct chick-n-strips™,0.0935483870967742
cobb salad w/ grilled filet (cold),0.09230769230769231
hot chick-n-strips™ trays,0.09090909090909091
small hot chick-n-strips™ tray,0.09090909090909091
medium hot chick-n-strips™ tray,0.09090909090909091
large hot chick-n-strips™ tray,0.09090909090909091
chilled chick-n-strips™ trays,0.09090909090909091
small chilled chick-n-strips™ (cooked & chilled for later) tray™,0.09090909090909091
medium chilled chick-n-strips™(cooked & chilled for later) tray,0.09090909090909091
large chilled chick-n-strips™ (cooked & chilled for later) tray,0.09090909090909091
egg white grill,0.0896551724137931
hash brown scramble bowl w/ nuggets - no hash browns,0.0875
grilled chicken sandwich,0.0875
cobb salad w/ spicy grilled filet (cold),0.0875
cobb salad w/ grilled nuggets,0.0875
grilled chicken club w/ no cheese,0.0868421052631579
grilled market salad w/ spicy grilled filet (cold),0.084375
grilled chicken club w/ pepper jack,0.08222222222222222
spicy filet,0.08214285714285714
2 chick-n-strips™ kid's meal,0.08181818181818182
small chilled grilled chicken sub sandwich tray,0.08181818181818182
medium chilled grilled chicken sub sandwich tray,0.08181818181818182
large chilled grilled chicken sub sandwich tray,0.08181818181818182
grilled chicken club w/ american,0.08139534883720931
spicy southwest salad w/ grilled nuggets,0.08125
grilled chicken club w/ colby jack,0.08043478260869565
bacon,0.08
chilled grilled chicken sub sandwich,0.07954545454545454
spicy southwest salad w/ grilled filet (cold),0.07777777777777778
1% white milk,0.07777777777777778
small spicy chilled grilled chicken sub sandwich tray,0.0761904761904762
medium spicy chilled grilled chicken sub sandwich tray,0.0761904761904762
large spicy chilled grilled chicken sub sandwich tray,0.0761904761904762
