item,p/c ratio
nonfat caramel mocha (large)§ 20 fl oz,3.0
hot chocolate with nonfat milk (large)§ 20 fl oz,2.6666666666666665
nonfat caramel mocha (medium)§ 16 fl oz,2.25
nonfat caramel mocha (small)§ 12 fl oz,2.0
hot chocolate with nonfat milk (medium)§ 16 fl oz,1.8333333333333333
iced nonfat caramel mocha (large)§ 22 fl oz,1.8333333333333333
mocha with nonfat milk (large)§ 20 fl oz,1.6666666666666667
hot chocolate with nonfat milk (small)§ 12 fl oz,1.6
iced nonfat caramel mocha (medium)§ 16 fl oz,1.5
mocha with nonfat milk (small)§ 12 fl oz,1.4
mocha with nonfat milk (medium)§ 16 fl oz,1.3333333333333333
iced vanilla latte (medium)§ 16 fl oz,1.1111111111111112
iced nonfat caramel mocha (small)§ 12 fl oz,1.0
cappuccino (medium)§ 16 fl oz,1.0
latte (small) § 12 fl oz § 12 fl oz,1.0
latte (medium)§ 16 fl oz,1.0
latte (large)§ 20 fl oz,1.0
caramel cappuccino (small)§ 12 fl oz,1.0
caramel cappuccino (medium)§ 16 fl oz,1.0
caramel cappuccino (large)§ 20 fl oz,1.0
caramel latte (small)§ 12 fl oz,1.0
caramel latte (medium)§ 16 fl oz,1.0
caramel latte (large)§ 20 fl oz,1.0
hazelnut cappuccino (small)§ 12 fl oz,1.0
hazelnut cappuccino (medium)§ 16 fl oz,1.0
hazelnut latte (small)§ 12 fl oz,1.0
hazelnut latte (medium)§ 16 fl oz,1.0
hazelnut latte (large)§ 20 fl oz,1.0
vanilla cappuccino (small)§ 12 fl oz,1.0
vanilla cappuccino (medium)§ 16 fl oz,1.0
vanilla latte (small)§ 12 fl oz,1.0
vanilla latte (medium)§ 16 fl oz,1.0
vanilla latte (large)§ 20 fl oz,1.0
cappuccino with sugar free vanilla syrup (small)§ 12 fl oz,1.0
cappuccino with sugar free vanilla syrup (medium)§ 16 fl oz,1.0
cappuccino with sugar free vanilla syrup (large)§ 20 fl oz,1.0
latte with sugar free vanilla syrup (small)§ 12 fl oz,1.0
latte with sugar free vanilla syrup (medium)§ 16 fl oz,1.0
latte with sugar free vanilla syrup (large)§ 20 fl oz,1.0
iced latte (medium)§ 16 fl oz,1.0
iced caramel latte (small)§ 12 fl oz,1.0
iced caramel latte (large)§ 22 fl oz,1.0
iced hazelnut latte (small)§ 12 fl oz,1.0
iced hazelnut latte (large)§ 22 fl oz,1.0
iced vanilla latte (small)§ 12 fl oz,1.0
