item,p/c ratio
grilled teriyaki chicken,0.12222222222222222
grilled asian chicken,0.12222222222222222
teriyaki chicken,0.12222222222222222
asian chicken,0.12222222222222222
firecracker shrimp kids,0.1125
black pepper angus steak kids,0.10714285714285714
black pepper angus steak entree,0.10555555555555556
firecracker shrimp entree,0.1
string bean chicken breast,0.07857142857142857
steamed ginger fish,0.07142857142857142
super greens,0.06666666666666667
super greens entree,0.06666666666666667
broccoli beef,0.06363636363636363
shanghai angus steak,0.06086956521739131
mushroom chicken,0.058823529411764705
hot & sour soup,0.058823529411764705
kung pao chicken ,0.05517241379310345
kung pao chicken,0.055
orange chicken,0.051351351351351354
black pepper chicken,0.05
sichuan hot chicken ,0.0475
sichuan hot chicken,0.04666666666666667
golden treasure shrimp,0.0380952380952381
honey sesame chicken breast,0.0375
chicken potsticker ,0.0375
sweetfire chicken breast,0.03571428571428571
honey walnut shrimp,0.035
sweetfire chicken breast ,0.034210526315789476
sweet & sour chicken breast,0.03333333333333333
chicken egg roll ,0.03
beijing beef,0.02857142857142857
beijing beef ,0.027659574468085105
cream cheese rangoon ,0.02631578947368421
chow mein,0.025
brown steamed rice,0.02258064516129032
white steamed rice,0.020833333333333332
eggplant tofu ,0.020588235294117647
fried rice,0.02
chow fun,0.02
eggplant tofu,0.02
vegetable spring roll ,0.015789473684210527
chocolate chunk cookie,0.0125
potato chicken,0
teriyaki sauce,0
sweet & sour sauce,0
chili sauce,0
soy sauce,0
potsticker sauce,0
hot mustard,0
plum sauce,0
fortune cookie,0
barq's root beer,0
black tea,0
cherry coca-cola,0
coca-cola,0
coca-cola zero sugar,0
diet coke,0
dr pepper,0
fanta fruit punch,0
fanta orange,0
fanta orange ,0
fanta strawberry,0
fanta strawberry ,0
fuze lemon black tea,0
fuze raspberry tea,0
glaceau vitaminwater squeezed zero,0
gold peak premium unsweetened tea,0
hi-c flashin fruit punch,0
lemon green tea,0
minute maid lemonade,0
minute maid light lemonade,0
passionfruit mango black tea,0
powerade fruit punch,0
powerade mountain berry blast,0
seagram's ginger ale,0
sprite,0
sprite zero,0
sweet tea,0
