item,p/c ratio
iced regular coffee,0.2
rainforest coffee,0.2
lowfat milk - ca (regional),0.09
lowfat milk - federal (regional),0.0875
rainforest coffee with nestle® coffee-mate™ sweetened original creamer (1 portion creamer),0.06666666666666667
fresco soft taco - steak,0.06666666666666667
grilled steak soft taco,0.06
fresco soft taco - shredded chicken,0.06
soft taco - chicken,0.058823529411764705
power menu bowl - chicken,0.05531914893617021
fresco burrito supreme® - chicken,0.053125
quesadilla - chicken,0.052941176470588235
quesadilla - steak,0.051923076923076926
burrito supreme® - chicken,0.051351351351351354
power menu bowl - steak,0.05102040816326531
cheesy roll up (v),0.05
fresco soft taco - beef,0.05
soft taco - beef,0.05
cheesy roll up,0.05
burrito supreme® - steak,0.04864864864864865
fresco burrito supreme® - steak,0.048484848484848485
chalupa supreme® - chicken,0.048484848484848485
grande toasted breakfast burrito - steak,0.048214285714285716
soft taco supreme® - beef,0.047619047619047616
crunchy taco,0.047058823529411764
nacho cheese doritos® locos taco,0.047058823529411764
chalupa supreme® - steak,0.045454545454545456
chili cheese burrito (regional),0.043243243243243246
fresco crunchy taco - beef,0.04285714285714286
nacho cheese doritos® locos taco supreme®,0.042105263157894736
grande toasted breakfast burrito - bacon,0.042105263157894736
hash brown toasted breakfast burrito - steak,0.042105263157894736
crunchy taco supreme®,0.042105263157894736
shredded chicken quesadilla melt,0.041935483870967745
burrito supreme® - beef,0.041025641025641026
quesadilla - cheese (v),0.04042553191489362
quesadilla - cheese,0.04042553191489362
cheesy gordita crunch supreme®,0.04038461538461539
cheesy gordita crunch,0.04
black beans,0.04
black beans (v),0.04
grande toasted breakfast burrito - sausage,0.039285714285714285
quesarito - steak,0.0380952380952381
grande scrambler burrito - steak,0.0375
express fiesta taco salad (regional),0.0375
cheesy toasted breakfast burrito - bacon,0.037142857142857144
bean burrito (v),0.037142857142857144
chalupa supreme® - beef,0.037142857142857144
bean burrito,0.037142857142857144
hash brown toasted breakfast burrito - bacon,0.03684210526315789
beefy 5-layer burrito,0.036734693877551024
breakfast crunchwrap - steak,0.03636363636363636
triplelupa,0.036065573770491806
quesarito - chicken,0.0359375
mexican pizza,0.035849056603773584
shredded chicken burrito,0.03571428571428571
nacho crunch double stacked taco,0.035483870967741936
quesarito - beef,0.033846153846153845
fiesta taco salad - beef,0.033783783783783786
fresco bean burrito,0.03333333333333333
grande scrambler burrito - bacon,0.0328125
beefy nacho loaded griller,0.032432432432432434
cheesy toasted breakfast burrito - sausage,0.03235294117647059
hash brown toasted breakfast burrito - sausage,0.031578947368421054
spicy tostada,0.031578947368421054
spicy tostada (v),0.031578947368421054
breakfast crunchwrap - bacon,0.03134328358208955
7-layer burrito (v),0.030952380952380953
7-layer burrito,0.030952380952380953
grande nachos - grilled chicken,0.0308411214953271
crunchwrap supreme®,0.03018867924528302
black bean quesarito (v),0.03015873015873016
black bean quesarito,0.03015873015873016
grande scrambler burrito - sausage,0.0296875
breakfast crunchwrap - sausage,0.029577464788732393
beefy fritos® burrito,0.029545454545454545
cheesy toasted breakfast burrito - fiesta potato,0.029411764705882353
grande nachos - steak,0.028440366972477066
steak and cheddar nachos box,0.028205128205128206
power menu bowl - veggie (v),0.027906976744186046
power menu bowl - veggie,0.027906976744186046
nachos bellgrande® - chicken,0.027777777777777776
mini skillet bowl,0.027777777777777776
nachos bellgrande® - steak,0.02638888888888889
chicken enchilada nachos,0.025925925925925925
nachos supreme®,0.02558139534883721
black bean crunchwrap supreme (v),0.025490196078431372
black bean crunchwrap supreme,0.025490196078431372
grande nachos - shredded chicken,0.025454545454545455
cheesy bean & rice burrito,0.023809523809523808
cheesy bean & rice burrito (v),0.023809523809523808
cheesy potato griller,0.023529411764705882
black beans & rice (v),0.023529411764705882
black beans & rice,0.023529411764705882
grande nachos - beef,0.023214285714285715
fiesta taco salad nachos,0.022627737226277374
spicy potato soft taco,0.021739130434782608
nachos bellgrande®,0.021621621621621623
bell tower cerveza (12 oz),0.01818181818181818
motorworks intellectual property ipa (12 oz),0.01818181818181818
motorworks pulp fiction ipa (12 oz),0.01818181818181818
old elephant ipa (draft),0.017391304347826087
motorworks intellectual property ipa (draft),0.017241379310344827
old elephant ipa (12 oz),0.016666666666666666
motorworks pulp fiction ipa (draft),0.016666666666666666
lagunitas ipa (draft),0.016
sea hag ipa (draft),0.016
lagunitas ipa (12 oz),0.015789473684210527
sea hag ipa (12 oz),0.015789473684210527
